Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,F,2,53,,
,G,2,55,4,
,Ak,2,56,3,2048
,Bb,2,58,3,0
,C,2,60,4,
,Dk,1,61,3,2048
,C,1,60,-3,0
,Bb,2,58,-4,
,Bb,1,58,0,
,C,2,60,4,
,C,8,60,0,
,],,,,
,[,,,,
,C,2,60,0,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,2,58,-4,
,Ak,2,56,-3,2048
,G,2,55,-3,0
,F,8,53,-4,
,],,,,
,,,,,
,[,,,,
,F,2,53,0,
,G,2,55,4,
,Ak,2,56,3,2048
,Bb,2,58,3,0
,C,2,60,4,
,Dk,1,61,3,2048
,C,1,60,-3,0
,Bb,2,58,-4,
,Bb,1,58,0,
,C,2,60,4,
,C,8,60,0,
,],,,,
,,,,,
,[,,,,
,C,1,60,0,
,Dk,2,61,3,2048
,Eb,1,63,3,0
,Dk,1,61,-3,2048
,C,1,60,-3,0
,Dk,2,61,3,2048
,Dk,2,61,0,2048
,Dk,1,61,0,2048
,C,1,60,-3,0
,Bb,1,58,-4,
,Ak,1,56,-3,2048
,Bb,1,58,3,0
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,2,60,4,
,C,2,60,0,
,Bb,4,58,-4,
,Ak,8,56,-3,2048
,],,,,
,,,,,
,[,,,,
,[,,,,
,Bb,2,58,3,0
,Bb,4,58,0,
,Bb,2,58,0,
,C,4,60,4,
,C,2,60,0,
,Dk,2,61,3,2048
,C,4,60,-3,0
,C,4,60,0,
,,,,,
,Dk,2,61,3,2048
,C,4,60,-3,0
,C,2,60,0,
,Dk,4,61,3,2048
,Dk,4,61,0,2048
,C,8,60,-3,0
,,,,,
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,C,4,60,4,
,C,4,60,0,
,Bb,8,58,-4,
,],,,,
,,,,,
,[,,,,
,F+1,2,65,14,
,Eb,4,63,-4,
,Eb,2,63,0,
,Dk,4,61,-3,2048
,Dk,2,61,0,2048
,Eb,2,63,3,0
,Dk,4,61,-3,2048
,C,4,60,-3,0
,,,,,
,Dk,2,61,3,2048
,C,4,60,-3,0
,C,2,60,0,
,Dk,4,61,3,2048
,Dk,4,61,0,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,C,4,60,4,
,C,4,60,0,
,Bb,8,58,-4,
,],,,,
,],,,,
,,,,,
,[,,,,
,Bb,2,58,0,
,Dk,2,61,7,2048
,Dk,2,61,0,2048
,C,8,60,-3,0
,,,,,
,Bb,2,58,0,
,C,2,60,4,
,C,2,60,0,
,Bb,8,58,-4,
,,,,,
,Bb,2,58,0,
,Eb,2,63,10,
,Eb,2,63,0,
,Dk,8,61,-3,2048
,,,,,
,Bb,2,58,-7,0
,Dk,2,61,7,2048
,Dk,2,61,0,2048
,C,8,60,-3,0
,,,,,
,Bb,2,58,-4,
,C,2,60,4,
,C,2,60,0,
,Bb,8,58,-4,
,,,,,
,Bb,2,58,0,
,F+1,1,65,14,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,Eb,1,63,0,
,Dk,1,61,-3,2048
,Eb,1,63,3,0
,Dk,1,61,-3,2048
,Dk,1,61,0,2048
,C,1,60,-3,0
,Dk,1,61,3,2048
,C,1,60,-3,0
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,Bb,1,58,-4,
,Bb,1,58,0,
,Ak,1,56,-3,2048
,Bb,1,58,3,0
,Ak,1,56,-3,2048
,Ak,1,56,0,2048
,G,1,55,-3,0
,Ak,8,56,3,2048
,],,,,
,,,,,
,[,,,,
,Bb,1,58,3,0
,Ak,1,56,-3,2048
,Bb,1,58,3,0
,C,2,60,4,
,Dk,1,61,3,2048
,Bb,1,58,-7,0
,C,2,60,4,
,Dk,1,61,3,2048
,Bb,1,58,-7,0
,C,2,60,4,
,Dk,1,61,3,2048
,Bb,1,58,-7,0
,C,2,60,4,
,Dk,1,61,3,2048
,C,1,60,-3,0
,Dk,1,61,3,2048
,C,1,60,-3,0
,Eb,1,63,6,
,Dk,1,61,-3,2048
,C,1,60,-3,0
,Bb,1,58,-4,
,Dk,1,61,7,2048
,C,1,60,-3,0
,Bb,1,58,-4,
,Ak,1,56,-3,2048
,C,1,60,7,0
,Bb,1,58,-4,
,Ak,1,56,-3,2048
,G,1,55,-3,0
,Ak,2,56,3,2048
,Ak,2,56,0,2048
,G,8,55,-3,0
,],,,,