Unnamed: 0,Pitch / microtone style,Length,Intervals,MIDI note number,Bend
,[,,,,
,[,,,,
,Eb,2,,63,
,Eb,1,0,63,
,DN,8,-2,62,
,],,,,
,[,,,,
,DN,1,0,62,
,DN,1,0,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,F+1,8,4,65,
,,,,,
,F+1,2,0,65,
,F+1,1,0,65,
,Eb,1,-4,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,1,2,63,
,DN,1,-2,62,
,Eb,8,2,63,
,,,,,
,Eb,1,0,63,
,Eb,1,0,63,
,Dk,1,-3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,1,3,61,2048
,C,1,-3,60,0
,Dk,2,3,61,2048
,Dk,2,0,61,2048
,C,8,-3,60,0
,],,,,
,,,,,
,[,,,,
,[,,,,
,C,2,0,60,
,Eb,2,6,63,
,Eb,1,0,63,
,Dk,2,-3,61,2048
,Eb,4,3,63,0
,Dk,4,-3,61,2048
,,,,,
,C,2,-3,60,0
,Eb,2,6,63,
,Eb,1,0,63,
,Dk,2,-3,61,2048
,Eb,4,3,63,0
,Dk,4,-3,61,2048
,],,,,
,,,,,
,C,1,-3,60,0
,F+1,1,10,65,
,Eb,2,-4,63,
,F+1,1,4,65,
,Eb,1,-4,63,
,Dk,2,-3,61,2048
,Eb,1,3,63,0
,Dk,1,-3,61,2048
,Eb,4,3,63,0
,Dk,4,-3,61,2048
,,,,,0
,Dk,1,0,61,2048
,Eb,1,3,63,0
,Dk,1,-3,61,2048
,Eb,1,3,63,0
,Dk,1,-3,61,2048
,Eb,1,3,63,0
,Dk,1,-3,61,2048
,Eb,2,3,63,0
,F+1,1,4,65,
,Eb,1,-4,63,
,Dk,1,-3,61,2048
,C,1,-3,60,0
,Dk,2,3,61,2048
,Dk,2,0,61,2048
,C,8,-3,60,0
,],,,,
,,,,,
,[,,,,
 ,C,1,0,60,
,Dk,2,3,61,2048
,C,1,-3,60,0
,Dk,2,3,61,2048
,C,1,-3,60,0
,Dk,2,3,61,2048
,C,1,-3,60,0
,F+1,2,10,65,
,Eb,2,-4,63,
,Dk,2,-3,61,2048
,C,1,-3,60,0
,Eb,2,6,63,
,Dk,2,-3,61,2048
,C,2,-3,60,0
,Bb,1,-4,58,
,Dk,2,7,61,2048
,C,2,-3,60,0
,Bb,2,-4,58,
,Ak,1,-3,56,2048
,C,2,7,60,0
,Bb,2,-4,58,
,Ak,1,-3,56,2048
,G,1,-3,55,0
,Ak,1,3,56,2048
,G,1,-3,55,0
,Ak,1,3,56,2048
,G,1,-3,55,0
,Ak,1,3,56,2048
,G,1,-3,55,0
,Ak,2,3,56,2048
,Ak,2,0,56,2048
,G,8,-3,55,0
,],,,,